generation,avg_fitness,best_fitness
1,201.4865714285714,213.30952380952385
2,204.85390476190477,219.9952380952381
3,208.81428571428572,227.85714285714283
4,206.2009523809524,227.85714285714283
5,210.33200000000005,227.85714285714283
6,210.22666666666672,228.1904761904762
7,213.85857142857137,228.1904761904762
8,215.70800000000003,228.59047619047618
9,219.74638095238097,231.24761904761908
10,220.4663809523809,231.7095238095238
11,220.1774285714286,231.7095238095238
12,222.43733333333333,232.17142857142858
13,226.06857142857146,232.37619047619046
14,225.98657142857144,233.55238095238093
15,228.355619047619,233.55238095238093
16,229.9518095238095,233.55238095238093
17,230.76409523809525,233.83333333333331
18,231.6575238095238,233.95714285714283
19,230.6924761904762,233.95714285714283
20,230.67466666666664,234.15714285714284
21,231.96495238095238,234.15714285714284
22,233.08009523809523,235.27142857142857
23,232.94695238095244,235.27142857142857
24,233.3510476190476,235.27142857142857
25,233.7427619047619,235.27142857142857
26,233.71047619047621,235.27142857142857
27,233.58428571428573,235.27142857142857
28,233.66885714285715,235.27142857142857
29,233.50133333333335,235.27142857142857
30,233.8295238095238,235.27142857142857
31,233.9364761904762,235.27142857142857
32,233.75857142857146,235.27142857142857
33,233.78990476190472,235.27142857142857
34,233.78599999999997,235.27142857142857
35,233.52485714285714,235.27142857142857
36,233.58247619047623,235.27142857142857
37,233.65180952380953,235.27142857142857
38,233.4882857142857,235.27142857142857
39,233.3432380952381,235.27142857142857
40,233.80609523809522,235.27142857142857
41,233.73885714285717,235.27142857142857
42,233.69038095238093,235.27142857142857
43,233.6644761904762,235.27142857142857
44,233.75514285714286,235.27142857142857
45,233.95923809523808,235.27142857142857
46,233.64580952380956,235.27142857142857
47,233.9110476190476,235.27142857142857
48,233.89076190476186,235.27142857142857
49,233.85714285714286,235.27142857142857
50,233.67285714285714,235.27142857142857
51,233.7206666666667,235.27142857142857
52,233.61009523809523,235.27142857142857
53,233.81866666666664,235.27142857142857
54,233.66866666666664,235.27142857142857
55,233.8121904761905,235.27142857142857
56,233.90285714285713,235.58571428571426
57,233.99219047619047,235.58571428571426
58,233.88247619047615,235.58571428571426
59,233.98923809523808,235.58571428571426
60,233.84799999999998,235.58571428571426
61,234.03238095238095,235.58571428571426
62,233.982,235.58571428571426
63,233.7882857142857,235.58571428571426
64,233.81628571428573,235.58571428571426
65,233.91542857142858,235.58571428571426
66,233.74914285714286,235.58571428571426
67,233.91180952380958,235.58571428571426
68,233.85752380952377,235.58571428571426
69,233.98295238095238,235.58571428571426
70,233.83800000000002,235.58571428571426
71,233.84390476190478,235.58571428571426
72,233.939619047619,235.58571428571426
73,233.7307619047619,235.58571428571426
74,233.62809523809523,235.58571428571426
75,234.0072380952381,235.58571428571426
76,234.15333333333336,235.58571428571426
77,233.80704761904764,235.58571428571426
78,233.87771428571432,235.58571428571426
79,234.0461904761905,235.58571428571426
80,233.96047619047621,235.58571428571426
81,233.87333333333333,235.58571428571426
82,234.0265714285714,235.58571428571426
83,233.8798095238095,235.58571428571426
84,233.63085714285708,235.58571428571426
85,233.95352380952383,235.58571428571426
86,233.9046666666667,235.58571428571426
87,234.12904761904758,235.58571428571426
88,233.86971428571425,235.58571428571426
89,234.15085714285712,235.8285714285714
90,233.86009523809523,235.8285714285714
91,233.9184761904762,235.8285714285714
92,233.96761904761905,235.8285714285714
93,233.76933333333335,235.8285714285714
94,233.90866666666668,235.8285714285714
95,234.05561904761905,235.8285714285714
96,233.8182857142857,235.8285714285714
97,233.8138095238095,235.8285714285714
98,233.68419047619045,235.8285714285714
99,233.85714285714286,235.8285714285714
100,233.83819047619048,235.8285714285714
