train_loss,val_loss,train_acc,val_acc,lr
0.6263426166718902,0.39087600776782405,0.799865586643557,0.9045900982160754,4.5722112051747106e-05
0.22304183809398526,0.1698103786852115,0.9045488309575183,0.9131088394467829,0.0001310942698565635
0.16873572738124773,0.1603876837553122,0.9075200735736267,0.9109039887753057,0.00022813134186454016
0.1605680710067172,0.1493789829695836,0.9100137950550033,0.9139106033273201,0.0002913847861947544
0.15311900443688237,0.14340838340994638,0.9097308195677549,0.9144117057526558,0.0002983094632272219
0.14771735663125418,0.13961846925891364,0.9097308195677549,0.9136099418721186,0.0002851013030360902
0.14384273375591003,0.13685222944388023,0.9105443740935941,0.9134095009019844,0.00025988885250053187
0.14203587041249102,0.13476401147169945,0.9100314810229564,0.9148125876929244,0.00022491234849364818
0.13991905404971197,0.13712930268584153,0.9108096636128895,0.9131088394467829,0.0001832796068883102
0.13802096726398122,0.13402194109482643,0.9108804074847017,0.9137101623571858,0.00013868987947842962
0.1359484119517771,0.1350864803370757,0.9114463584591985,0.9133092804169172,9.510515922317001e-05
0.13481687055689986,0.13334918146332106,0.9117116479784939,0.9139106033273201,5.639813978560568e-05
0.133497385552566,0.1335211029419532,0.9125252025043331,0.9140108238123873,2.6008109705721228e-05
0.1325755256367215,0.13267211023813638,0.9129673517031587,0.9143114852675887,6.63535652056472e-06
0.13168189716757153,0.13242455505025694,0.9127904920236285,0.9139106033273201,1.2343665644008198e-09
